ID,ESTADO,FECHA_INSTALACION,MODELO,tipo_juego,ACCESIBLE,indicadorExposicion,ultimaFechaMantenimiento,desgasteAcumulado,AreaRecreativaID
22546,OPERATIVO,2009-01-01,1080 · JMC-490,infantiles,False,medio,2024-09-14,1900,18489
22533,OPERATIVO,2002-01-01,0349 · JMC-46,infantiles,False,bajo,Ausente,1500,18456
22516,OPERATIVO,2002-01-01,Tobogan Autoportante en Area Infantil,infantiles,True,medio,2024-06-27,2400,18429
22513,OPERATIVO,2009-01-01,1080 · JMC-490,infantiles,False,alto,2024-07-09,1300,18424
22503,OPERATIVO,2011-02-06,ACERO,infantiles,True,alto,Ausente,3300,18385
22483,OPERATIVO,2007-01-01,ACERO,infantiles,False,bajo,Ausente,1300,18350
22479,OPERATIVO,2008-01-01,Tobogan Autoportante en Area Infantil,infantiles,True,alto,2024-05-29,3500,18348
22447,OPERATIVO,2009-01-01,PLASTICO,infantiles,False,alto,2024-01-23,0,18278
22425,OPERATIVO,2003-01-01,GUSANO,infantiles,False,medio,2024-07-05,1000,18202
22402,OPERATIVO,2001-01-01,1036 · ELEFANTE,infantiles,False,alto,2024-08-06,1000,18104
22400,OPERATIVO,2007-01-01,1036 · ELEFANTE,infantiles,True,medio,Ausente,3000,18101
22396,OPERATIVO,2004-01-01,0821 · LA GUARIDA DEL CASTOR,infantiles,False,bajo,2024-04-29,1100,18083
22386,OPERATIVO,2002-01-01,1036 · ELEFANTE,infantiles,True,bajo,2024-01-10,1200,18055
22376,OPERATIVO,2009-01-01,0807 · GUSANO,infantiles,True,bajo,Ausente,700,18023
22369,OPERATIVO,2008-01-01,0325 · JMC-04,infantiles,True,medio,2024-03-06,1600,17991
22368,OPERATIVO,2004-01-01,Tobogan Autoportante en Area Infantil,infantiles,False,bajo,2024-05-24,-200,17983
22364,OPERATIVO,2001-01-01,Tobogan Autoportante en Area Infantil,infantiles,False,medio,Ausente,800,17971
22360,OPERATIVO,2001-01-01,0349 · JMC-46,infantiles,True,medio,2024-07-15,200,17961
22346,OPERATIVO,2006-01-01,BALLENA,infantiles,True,medio,2024-09-13,1800,17920
22335,OPERATIVO,2003-01-01,ELEFANTE,infantiles,False,bajo,2024-10-04,500,17892
22326,OPERATIVO,2005-01-01,PLASTICO,infantiles,True,bajo,2024-09-18,100,17871
22315,OPERATIVO,2011-02-06,JIRAFA,infantiles,False,bajo,2024-04-02,300,17845
22298,OPERATIVO,2011-02-06,JMC-04,infantiles,Desconocido,medio,2024-05-29,900,17797
22297,OPERATIVO,2007-04-09,JIRAFA,infantiles,False,bajo,2024-08-23,200,17791
22291,OPERATIVO,2011-06-02,JMC-04,infantiles,False,bajo,2024-05-26,400,17769
